manufacturer_id,name,logo_file_name,logo_content_type,logo_file_size,url
1,AMD,amd.png,image/png,28355,
2,Cypress,cypress.png,image/png,365119,
3,DEC,dec.png,image/png,11765,
4,Fujitsu,fujitsu.png,image/png,20535,
5,Hitachi,hitachi.png,image/png,21418,
6,HP,hp.png,image/png,15235,
7,IBM,ibm.png,image/png,8385,
8,IDT,idt.png,image/png,,
9,Intel,intel.png,image/png,41240,
10,Motorola,motorola.png,image/png,55533,
11,NEC,nec.png,image/png,,
12,Samsung,samsung.png,image/png,,
13,TI,ti.png,image/png,,
14,Toshiba,toshiba.png,image/png,,
15,unnamed,unnamed,image/png,,
16,TSMC,tsmc.png,image/png,,
17,MIPS,Mips.ai,image/ai,9050,
18,SGI,sgi.png,image/png,54515,
19,Sun,sun.png,image/png,3437,
20,Broadcom,broadcom.png,image/png,21111,
21,Cyrix,cyrix.png,image/png,46975,
22,HAL,hal.png,image/png,9731,
23,NexGen,nexgen.png,image/png,841,
24,Ross,ross.png,image/png,17449,
25,Zilog,zilog.png,image/png,80849,
26,ARM,arm.png,image/png,,
27,RISK-V,riskv.png,image/png,,
28,Apple,apple.png,image/png,,
29,NVIDIA,nvidia.png,image/png,,
30,Qualcomm,qualcomm.png,image/png,,
