manufacturer,processor_family,architecture ,hw_model ,Feature ,"Cache (I / D), MMU ",mips
Apple,Ax ,ARMv8.4-A,Lightning and Thunder,"Lightning: 2 cores. AArch64, out-of-order, superscalar, 7-decode, ?-issue, 11-wide
Thunder: 4 cores. AArch64, out-of-order, superscalar.","L1: 128 KB / 128 KB, L2: 8 MB shared
L1: 32 KB / 48 KB, L2: 4 MB shared
SLC: 16 MB","2.66 GHz
1.73 GHz "
Apple,Ax ,ARMv8.5-A,Firestorm and Icestorm],"Firestorm: 2 cores. AArch64, out-of-order, superscalar, 8-decode, ?-issue, 14-wide
Icestorm: 4 cores. AArch64, out-of-order, superscalar, 4-decode, ?-issue, 7-wide.","L1: 192 KB / 128 KB, L2: 8 MB shared
L1: 128 KB / 64 KB, L2: 4 MB shared
SLC: 16 MB","3.0 GHz
1.82 GHz "
Apple,Ax ,ARMv8.5-A,Avalanche and Blizzard,"Avalanche: 2 cores. AArch64, out-of-order, superscalar, 8-decode, ?-issue, 14-wide
Blizzard: 4 cores. AArch64, out-of-order, superscalar, 4-decode, ?-issue, 8-wide.","L1: 192 KB / 128 KB, L2: 12 MB shared
L1: 128 KB / 64 KB, L2: 4 MB shared
SLC: 32 MB","2.93 or 3.23 GHz
2.02 GHz "
Apple,Ax ,ARMv8.5-A,Everest and Sawtooth,"Everest: 2 cores. AArch64, out-of-order, superscalar, 8-decode, ?-issue, 14-wide
Sawtooth: 4 cores. AArch64, out-of-order, superscalar, 4-decode, ?-issue, 8-wide.","L1: 192 KB / 128 KB, L2: 16 MB shared
L1: 128 KB / 64 KB, L2: 4 MB shared
SLC: 24 MB","3.46 GHz
2.02 GHz "
Apple,Mx,ARMv8.5-A,Firestorm and Icestorm,"Firestorm: 4, 6, 8 or 16 cores. AArch64, out-of-order, superscalar, 8-decode, ?-issue, 14-wide
Icestorm: 2 or 4 cores. AArch64, out-of-order, superscalar, 4-decode, ?-issue, 7-wide.","L1: 192 KB / 128 KB, L2: 12, 24 or 48 MB shared
L1: 128 KB / 64 KB, L2: 4 or 8 MB shared
SLC: 8, 24, 48 or 96 MB","3.2-3.23 GHz
2.06 GHz "
Apple,Mx,ARMv8.5-A,Avalanche and Blizzard,"Avalanche: 4, 6, 8 or 16 cores. AArch64, out-of-order, superscalar, 8-decode, ?-issue, 14-wide
Blizzard: 4 or 8 cores. AArch64, out-of-order, superscalar, 4-decode, ?-issue, 8-wide.","L1: 192 KB / 128 KB, L2: 16, 32 or 64 MB shared
L1: 128 KB / 64 KB, L2: 4 or 8 MB shared
SLC: 8, 24, 48 or 96 MB","3.49 GHz
2.42 GHz "
Applied Micro,X-Gene,ARMv8-A,X-Gene,"64-bit, quad issue, SMP, 64 cores[87]","Cache, MMU, virtualization",3 GHz (4.2 DMIPS/MHz per core) 
Nvidia,Denver,ARMv8-A,Denver,"2 cores. AArch64, 7-wide superscalar, in-order, dynamic code optimization, 128 MB optimization cache,
Denver1: 28 nm, Denver2:16 nm",128 KB I-cache / 64 KB D-cache,Up to 2.5 GHz 
Nvidia,Carmel ,ARMv8.2-A,Carmel,"2 cores. AArch64, 10-wide superscalar, in-order, dynamic code optimization, ? MB optimization cache,
functional safety, dual execution, parity & ECC",? KB I-cache / ? KB D-cache,Up to ? GHz 
Cavium,ThunderX,ARMv8-A,ThunderX,"64-bit, with two models with 8–16 or 24–48 cores (×2 w/two chips)",?,Up to 2.2 GHz 
AMD,K12 ,ARMv8-A,K12,?,?,? 
Samsung,Exynos,ARMv8-A,"M1 (""Mongoose"")","4 cores. AArch64, 4-wide, quad-issue, superscalar, out-of-order","64 KB I-cache / 32 KB D-cache, L2: 16-way shared 2 MB","5.1 DMIPS/MHz 
(2.6 GHz) "
Samsung,Exynos,ARMv8-A,"M2 (""Mongoose"")","4 cores. AArch64, 4-wide, quad-issue, superscalar, out-of-order","64 KB I-cache / 32 KB D-cache, L2: 16-way shared 2 MB",2.3 GHz 
Samsung,Exynos,ARMv8-A ,"M3 (""Meerkat"")","4 cores, AArch64, 6-decode, 6-issue, 6-wide. superscalar, out-of-order","64 KB I-cache / 64 KB D-cache, L2: 8-way private 512 KB, L3: 16-way shared 4 MB",2.7 GHz 
Samsung,Exynos,ARMv8.2-A ,"M4 (""Cheetah"")","2 cores, AArch64, 6-decode, 6-issue, 6-wide. superscalar, out-of-order ","64 KB I-cache / 64 KB D-cache, L2: 8-way private 1 MB, L3: 16-way shared 3 MB ",2.73 GHz 
Samsung,Exynos,ARMv8.2-A ,"M5 (""Lion"") ","2 cores, AArch64, 6-decode, 6-issue, 6-wide. superscalar, out-of-order ","64 KB I-cache / 64 KB D-cache, L2: 8-way shared 2 MB, L3: 12-way shared 3 MB ",2.73 GHz 
