ARK | Intel® Product Specification Comparison
08/24/2023 09:17:24 PM
 ,Intel® Celeron® Processor 2955U ,Intel® Celeron® Processor 2000E ,Intel® Celeron® Processor 2002E ,Intel® Celeron® Processor 2980U ,Intel® Celeron® Processor 2950M ,Intel® Celeron® Processor 2957U ,Intel® Celeron® Processor 2961Y ,Intel® Celeron® Processor 2981U ,Intel® Celeron® Processor 2970M 
Max CPU Configuration,1,1,1,1,1,1,1,1,1
TJUNCTION,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C
Package Size,40mm x 24mm x 1.5mm,37.5mm x 32mm x 1.6mm,37.5mm x 32mm x 1.6mm,40mm x 24mm x 1.5mm,37.5mm x 37.5mm x 4.7mm,40mm x 24mm x 1.5mm,40mm x 24mm x 1.5mm,40mm x 24mm x 1.5mm,37.5mm x 37.5mm x 4.7mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No
Intel® Hyper-Threading Technology ‡,No,No,No,No,No,No,No,No,No
Intel® Transactional Synchronization Extensions,No,No,No,No,No,No,No,No,No
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2
Idle States,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® ME Firmware Version,9.5,,,9.5,,9.5,9.5,9.5,
Intel® HD Audio Technology,Yes,,,Yes,,Yes,Yes,Yes,
Intel® Matrix Storage Technology,No,,,No,,No,No,No,
Intel® Identity Protection Technology ‡,No,No,No,No,No,No,No,No,No
Intel® Rapid Storage Technology,Yes,,,Yes,,Yes,Yes,Yes,
Intel® Smart Connect Technology,Yes,,,Yes,,Yes,Yes,Yes,
Intel® Smart Response Technology,No,,,No,,No,No,No,

Security & Reliability
Intel® AES New Instructions,No,No,No,No,No,No,No,No,No
Secure Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,No,No,No,No,No,No,No,No,No
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Theft Technology,No,,,No,No,No,No,No,No
Intel® OS Guard,No,,,No,,No,,No,
Intel® Stable IT Platform Program (SIPP),No,No,No,No,,No,No,No,
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,No,No,No,No,No,No,No,No,No
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
