ARK | Intel® Product Specification Comparison
08/24/2023 09:54:07 PM
 ,Intel® Xeon® Processor E3-1220 ,Intel® Xeon® Processor E3-1225 ,Intel® Xeon® Processor E3-1230 ,Intel® Xeon® Processor E3-1235 ,Intel® Xeon® Processor E3-1240 ,Intel® Xeon® Processor E3-1245 ,Intel® Xeon® Processor E3-1260L ,Intel® Xeon® Processor E3-1270 ,Intel® Xeon® Processor E3-1275 ,Intel® Xeon® Processor E3-1280 ,Intel® Xeon® Processor E3-1220L ,Intel® Xeon® Processor E3-1290 ,Intel® Xeon® Processor E3-1125C ,Intel® Xeon® Processor E3-1105C 
Processor Graphics ‡,,,,,,,Intel® HD Graphics 2000,,,,,,,

Expansion Options
PCI Express Revision,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
Max # of PCI Express Lanes,20,20,20,20,20,20,20,20,20,20,20,20,20,20
PCI Express Configurations ‡,,,,,,,,,,,,,1x16  1x4 or 2x8  1x4 or 1x8  3x4,1x16 1x4 or 2x8 1x4 or 1x8 3x4

Package Specifications
Sockets Supported,LGA1155,LGA1155,LGA1155,LGA1155,LGA1155,LGA1155,LGA1155,LGA1155,LGA1155,LGA1155,FCLGA1155,LGA1155,FCBGA1284,FCBGA1284
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,
TCASE,69.1°C,72.6°C,69.1°C,72.6°C,69.1°C,72.6°C,58.6°C,69.1°C,72.6°C,73.6°C,77.5°C,56.7°C,,
Package Size,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5 mm,37.5mm x 37.5 mm
TJUNCTION,,,,,,,,,,,,,100°C,100°C

Advanced Technologies
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,No
Intel® Hyper-Threading Technology ‡,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
