ARK | Intel® Product Specification Comparison
08/24/2023 09:07:28 PM
 ,Intel® Core™ i9-7900X X-series Processor ,Intel® Core™ i9-7920X X-series Processor ,Intel® Core™ i9-7940X X-series Processor ,Intel® Core™ i9-7960X X-series Processor ,Intel® Core™ i9-7980XE Extreme Edition Processor ,Intel® Core™ i9-12900TE Processor ,Intel® Core™ i9-12900E Processor ,Intel® Core™ i9-12900H Processor ,Intel® Core™ i9-12900HK Processor ,Intel® Core™ i9-12900 Processor ,Intel® Core™ i9-12900F Processor ,Intel® Core™ i9-12900K Processor ,Intel® Core™ i9-12900KF Processor ,Intel® Core™ i9-12900T Processor ,Intel® Core™ i9-8950HK Processor ,Intel® Core™ m3-8100Y Processor ,Intel® Core™ i9-9900K Processor ,Intel® Core™ i9-9820X X-series Processor ,Intel® Core™ i9-9960X X-series Processor ,Intel® Core™ i9-9900X X-series Processor ,Intel® Core™ i9-9940X X-series Processor ,Intel® Core™ i9-9980XE Extreme Edition Processor ,Intel® Core™ i9-9920X X-series Processor ,Intel® Core™ i9-9900KF Processor ,Intel® Core™ i9-9900T Processor ,Intel® Core™ i9-9900 Processor ,Intel® Core™ i9-9900KS Processor ,Intel® Core™ i9-9880H Processor ,Intel® Core™ i9-9980HK Processor ,Intel® Core™ i9-10920X X-series Processor ,Intel® Core™ i9-10940X X-series Processor ,Intel® Core™ i9-10980XE Extreme Edition Processor ,Intel® Core™ i9-10900X X-series Processor ,Intel® Core™ i9-10900T Processor ,Intel® Core™ i9-10900 Processor ,Intel® Core™ i9-10900F Processor ,Intel® Core™ i9-10900KF Processor ,Intel® Core™ i9-10900K Processor ,Intel® Core™ i9-10980HK Processor ,Intel® Core™ i9-10885H Processor ,Intel® Core™ i9-10900TE Processor ,Intel® Core™ i9-10900E Processor ,Intel® Core™ i9-10850K Processor ,Intel® Core™ i9-11900 Processor ,Intel® Core™ i9-11900F Processor ,Intel® Core™ i9-11900T Processor ,Intel® Core™ i9-11900KF Processor ,Intel® Core™ i9-11900K Processor ,Intel® Core™ i9-11950H Processor ,Intel® Core™ i9-11980HK Processor ,Intel® Core™ i9-11900H Processor ,Intel® Core™ i9-12900KS Processor ,Intel® Core™ i9-12950HX Processor ,Intel® Core™ i9-12900HX Processor ,Intel® Core™ i9-13900K Processor ,Intel® Core™ i9-13900KF Processor ,Intel® Core™ i9-13900T Processor ,Intel® Core™ i9-13900 Processor ,Intel® Core™ i9-13900F Processor ,Intel® Core™ i9-13900E Processor ,Intel® Core™ i9-13900H Processor ,Intel® Core™ i9-13980HX Processor ,Intel® Core™ i9-13900HK Processor ,Intel® Core™ i9-13950HX Processor ,Intel® Core™ i9-13900TE Processor ,Intel® Core™ i9-13900KS Processor ,Intel® Core™ i9-13900HX Processor ,Intel® Core™ i9-13905H Processor ,Intel® Core™ M-5Y10 Processor ,Intel® Core™ M-5Y10a Processor ,Intel® Core™ M-5Y70 Processor ,Intel® Core™ M-5Y31 Processor ,Intel® Core™ M-5Y51 Processor ,Intel® Core™ M-5Y71 Processor ,Intel® Core™ M-5Y10c Processor ,Intel® Core™ m5-6Y57 Processor ,Intel® Core™ m3-6Y30 Processor ,Intel® Core™ m7-6Y75 Processor ,Intel® Core™ m5-6Y54 Processor ,Intel® Core™ m3-7Y30 Processor ,Intel® Core™ m3-7Y32 Processor 
Total Threads,20,24,28,32,36,24,24,20,20,24,24,24,24,24,12,4,16,20,32,20,28,36,24,16,16,16,16,16,16,24,28,36,20,20,20,20,20,20,16,16,20,20,20,16,16,16,16,16,16,16,16,24,24,24,32,32,32,32,32,32,20,32,20,32,32,32,32,20,4,4,4,4,4,4,4,4,4,4,4,4,4
Max Turbo Frequency,4.30 GHz,4.30 GHz,4.30 GHz,4.20 GHz,4.20 GHz,4.80 GHz,5.00 GHz,5.00 GHz,5.00 GHz,5.10 GHz,5.10 GHz,5.20 GHz,5.20 GHz,4.90 GHz,4.80 GHz,3.40 GHz,5.00 GHz,4.10 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,5.00 GHz,4.40 GHz,5.00 GHz,5.00 GHz,4.80 GHz,5.00 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.50 GHz,4.60 GHz,5.20 GHz,5.20 GHz,5.30 GHz,5.30 GHz,5.30 GHz,5.30 GHz,4.50 GHz,4.70 GHz,5.20 GHz,5.20 GHz,5.20 GHz,4.90 GHz,5.30 GHz,5.30 GHz,5.00 GHz,5.00 GHz,4.90 GHz,5.50 GHz,5.00 GHz,5.00 GHz,5.80 GHz,5.80 GHz,5.30 GHz,5.60 GHz,5.60 GHz,5.20 GHz,5.40 GHz,5.60 GHz,5.40 GHz,5.50 GHz,5.00 GHz,6.00 GHz,5.40 GHz,5.40 GHz,2.00 GHz,2.00 GHz,2.60 GHz,2.40 GHz,2.60 GHz,2.90 GHz,2.00 GHz,2.80 GHz,2.20 GHz,3.10 GHz,2.70 GHz,2.60 GHz,3.00 GHz
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,4.50 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,,,5.00 GHz,5.00 GHz,5.10 GHz,5.10 GHz,5.20 GHz,5.20 GHz,4.90 GHz,,,,4.20 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,,,,,,,4.80 GHz,4.80 GHz,4.80 GHz,4.70 GHz,4.60 GHz,5.10 GHz,5.10 GHz,5.20 GHz,5.20 GHz,5.10 GHz,5.10 GHz,4.50 GHz,4.70 GHz,5.10 GHz,5.10 GHz,5.10 GHz,4.90 GHz,5.20 GHz,5.20 GHz,5.00 GHz,5.00 GHz,4.90 GHz,5.30 GHz,5.00 GHz,5.00 GHz,5.70 GHz,5.70 GHz,5.30 GHz,5.50 GHz,5.50 GHz,,5.40 GHz,5.50 GHz,5.40 GHz,5.50 GHz,,5.80 GHz,5.40 GHz,5.40 GHz,,,,,,,,,,,,,
Processor Base Frequency,3.30 GHz,2.90 GHz,3.10 GHz,2.80 GHz,2.60 GHz,,,,,,,,,,2.90 GHz,1.10 GHz,3.60 GHz,3.30 GHz,3.10 GHz,3.50 GHz,3.30 GHz,3.00 GHz,3.50 GHz,3.60 GHz,2.10 GHz,3.10 GHz,4.00 GHz,2.30 GHz,2.40 GHz,3.50 GHz,3.30 GHz,3.00 GHz,3.70 GHz,1.90 GHz,2.80 GHz,2.80 GHz,3.70 GHz,3.70 GHz,2.40 GHz,2.40 GHz,1.80 GHz,2.80 GHz,3.60 GHz,2.50 GHz,2.50 GHz,1.50 GHz,3.50 GHz,3.50 GHz,,,,,,,,,,,,1.80 GHz,,,,,1.00 GHz,,,,800 MHz,800 MHz,1.10 GHz,900 MHz,1.10 GHz,1.20 GHz,800 MHz,1.10 GHz,900 MHz,1.20 GHz,1.10 GHz,1.00 GHz,1.10 GHz
Cache,13.75 MB L3 Cache,16.5 MB L3 Cache,19.25 MB,22 MB,24.75 MB,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,12 MB Intel® Smart Cache,4 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16.5 MB Intel® Smart Cache,22 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,24.75 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,24.75 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,4 MB,4 MB,4 MB,4 MB,4 MB,4 MB,4 MB,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache
Bus Speed,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,,,,,,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s DMI3,8 GT/s DMI3,8 GT/s DMI3,8 GT/s DMI3,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,,,,,,,,,,,,,,,,5 GT/s,,,,,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s
# of QPI Links,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDP,140 W,140 W,165 W,165 W,165 W,,,,,,,,,,45 W,5 W,95 W,165 W,165 W,165 W,165 W,165 W,165 W,95 W,35 W,65 W,127 W,45 W,45 W,165 W,165 W,165 W,165 W,35 W,65 W,65 W,125 W,125 W,45 W,45 W,35 W,65 W,125 W,65 W,65 W,35 W,125 W,125 W,,,,,,,,,,,,65 W,,,,,35 W,,,,4.5 W,4.5 W,4.5 W,4.5 W,4.5 W,4.5 W,4.5 W,4.5 W,4.5 W,4.5 W,4.5 W,4.5 W,4.5 W
# of Performance-cores,,,,,,8,8,6,6,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,6,8,6,8,8,8,8,6,,,,,,,,,,,,,
# of Efficiency-cores,,,,,,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,16,16,16,16,16,16,8,16,8,16,16,16,16,8,,,,,,,,,,,,,
