# of Efficient-cores,8,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Threads,16,6,6,8,8,8,8,8,8,8,8,8,8,8,8,16,12,12,12,12,12,16,12,12,12,16,16,12,16,12,12,16,12,12,16,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Max Turbo Frequency,4.40 GHz,4.10 GHz,4.00 GHz,3.70 GHz,3.70 GHz,3.60 GHz,4.10 GHz,4.10 GHz,4.00 GHz,4.20 GHz,4.20 GHz,4.40 GHz,4.20 GHz,4.50 GHz,4.50 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,,,4.40 GHz,4.40 GHz,4.70 GHz,4.60 GHz,4.70 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.50 GHz,4.50 GHz,4.60 GHz,4.60 GHz,4.60 GHz,3.20 GHz,3.20 GHz,2.53 GHz,3.07 GHz,3.46 GHz,3.60 GHz,3.60 GHz,3.73 GHz,2.93 GHz,1.87 GHz,2.93 GHz,3.33 GHz,3.86 GHz,3.46 GHz,2.66 GHz,1.73 GHz,2.00 GHz,3.33 GHz,3.20 GHz,2.13 GHz,1.86 GHz,3.30 GHz,2.80 GHz,3.10 GHz,3.40 GHz,3.30 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.30 GHz,2.90 GHz,3.20 GHz,2.93 GHz,3.20 GHz,3.30 GHz,3.50 GHz,3.00 GHz,3.10 GHz,3.10 GHz,2.30 GHz,2.70 GHz,3.10 GHz,3.30 GHz,2.30 GHz,3.00 GHz,3.50 GHz,3.40 GHz,3.50 GHz,3.30 GHz,2.80 GHz,3.20 GHz,3.20 GHz,3.50 GHz,3.50 GHz,3.60 GHz,3.70 GHz,3.70 GHz,3.80 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.60 GHz,3.30 GHz,2.60 GHz,3.10 GHz,3.10 GHz,3.60 GHz,3.60 GHz,3.30 GHz,3.60 GHz,3.40 GHz,2.90 GHz,2.00 GHz,2.30 GHz,2.70 GHz,3.20 GHz,3.20 GHz,3.40 GHz,2.60 GHz,2.70 GHz,2.90 GHz,3.00 GHz,3.20 GHz,3.20 GHz,3.30 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.30 GHz,2.60 GHz,3.30 GHz,,1.90 GHz,2.90 GHz,3.10 GHz,3.30 GHz,2.70 GHz,2.90 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.10 GHz,2.00 GHz,1.90 GHz,2.30 GHz,2.30 GHz,3.20 GHz,3.70 GHz,3.50 GHz,2.70 GHz,3.00 GHz,3.50 GHz,,2.90 GHz,3.00 GHz,3.60 GHz,3.40 GHz,3.90 GHz,3.90 GHz,3.90 GHz,3.50 GHz,3.70 GHz,3.70 GHz,3.40 GHz,3.40 GHz,3.20 GHz,2.70 GHz,2.00 GHz,3.30 GHz,3.10 GHz,2.70 GHz,3.10 GHz,3.30 GHz,2.90 GHz,2.70 GHz,2.90 GHz,3.50 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.10 GHz,3.60 GHz,3.30 GHz,3.30 GHz,2.80 GHz,3.90 GHz,3.50 GHz,3.00 GHz,3.90 GHz,2.80 GHz,3.20 GHz,3.50 GHz,3.40 GHz,2.70 GHz,3.10 GHz,2.90 GHz,3.50 GHz,3.30 GHz,3.40 GHz,3.20 GHz,3.60 GHz,3.80 GHz,3.10 GHz,3.20 GHz,3.30 GHz
Performance-core Max Turbo Frequency,4.40 GHz,,,,,,,,,,,,,,,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.70 GHz,4.60 GHz,4.70 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.50 GHz,4.50 GHz,4.60 GHz,4.60 GHz,4.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efficient-core Max Turbo Frequency,3.30 GHz,,,,,,,,,,,,,,,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.20 GHz,3.30 GHz,2.50 GHz,2.50 GHz,3.50 GHz,3.40 GHz,3.50 GHz,3.40 GHz,3.40 GHz,3.40 GHz,3.30 GHz,3.30 GHz,3.40 GHz,3.40 GHz,3.40 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB L3 Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB L3 Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,3 MB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,3 MB,3 MB,3 MB,3 MB,3 MB,3 MB,3 MB,3 MB,4 MB,4 MB,4 MB,4 MB,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB,6 MB Intel® Smart Cache,6 MB,6 MB,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache
Processor Base Power,28 W,,,,,,,,,,,,,,,28 W,15 W,15 W,15 W,9 W,9 W,28 W,15 W,15 W,15 W,28 W,28 W,15 W,28 W,15 W,15 W,28 W,15 W,15 W,28 W,15 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Turbo Power,64 W,,,,,,,,,,,,,,,64 W,55 W,55 W,55 W,29 W,29 W,64 W,55 W,,,64 W,64 W,55 W,64 W,55 W,55 W,64 W,55 W,55 W,64 W,55 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Assured Power,20 W,,,,,,,,,,,,,,,20 W,12 W,,12 W,,,20 W,12 W,12 W,12 W,20 W,20 W,12 W,20 W,,12 W,20 W,12 W,12 W,20 W,12 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Technology 2.0 Frequency‡,,4.10 GHz,4.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30 GHz,,3.10 GHz,3.40 GHz,3.30 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.30 GHz,2.90 GHz,3.20 GHz,,3.20 GHz,3.30 GHz,3.50 GHz,3.00 GHz,3.10 GHz,3.10 GHz,2.30 GHz,2.70 GHz,3.10 GHz,3.30 GHz,2.30 GHz,3.00 GHz,3.50 GHz,3.40 GHz,3.50 GHz,3.30 GHz,2.80 GHz,3.20 GHz,3.20 GHz,3.50 GHz,3.50 GHz,3.60 GHz,3.70 GHz,3.70 GHz,3.80 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.60 GHz,3.30 GHz,2.60 GHz,3.10 GHz,3.10 GHz,3.60 GHz,3.60 GHz,3.30 GHz,3.60 GHz,3.40 GHz,2.90 GHz,2.00 GHz,2.30 GHz,2.70 GHz,3.20 GHz,3.20 GHz,3.40 GHz,2.60 GHz,2.70 GHz,2.90 GHz,3.00 GHz,3.20 GHz,3.20 GHz,3.30 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.30 GHz,2.60 GHz,3.30 GHz,,1.90 GHz,2.90 GHz,3.10 GHz,3.30 GHz,2.70 GHz,2.90 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.10 GHz,2.00 GHz,1.90 GHz,2.30 GHz,2.30 GHz,3.20 GHz,3.70 GHz,3.50 GHz,2.70 GHz,3.00 GHz,3.50 GHz,,2.90 GHz,3.00 GHz,3.60 GHz,3.40 GHz,3.90 GHz,3.90 GHz,3.90 GHz,3.50 GHz,3.70 GHz,3.70 GHz,3.40 GHz,3.40 GHz,3.20 GHz,2.70 GHz,2.00 GHz,3.30 GHz,3.10 GHz,2.70 GHz,3.10 GHz,3.30 GHz,2.90 GHz,2.70 GHz,2.90 GHz,3.50 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.10 GHz,3.60 GHz,3.30 GHz,3.30 GHz,2.80 GHz,3.90 GHz,3.50 GHz,3.00 GHz,3.90 GHz,2.80 GHz,3.20 GHz,3.50 GHz,3.40 GHz,2.70 GHz,3.10 GHz,2.90 GHz,3.50 GHz,3.30 GHz,3.40 GHz,3.20 GHz,3.60 GHz,3.80 GHz,3.10 GHz,3.20 GHz,3.30 GHz
Processor Base Frequency,,3.00 GHz,2.80 GHz,1.10 GHz,1.20 GHz,1.00 GHz,1.50 GHz,1.50 GHz,,,,,,,,,,,,,,,,1.60 GHz,1.30 GHz,,,,1.80 GHz,,,1.80 GHz,1.30 GHz,1.40 GHz,1.80 GHz,1.40 GHz,2.66 GHz,2.40 GHz,2.26 GHz,2.53 GHz,3.20 GHz,3.33 GHz,3.33 GHz,3.46 GHz,2.40 GHz,1.07 GHz,2.40 GHz,2.80 GHz,3.60 GHz,3.20 GHz,2.40 GHz,1.20 GHz,1.20 GHz,2.66 GHz,2.66 GHz,1.33 GHz,1.33 GHz,2.60 GHz,2.53 GHz,2.80 GHz,3.10 GHz,2.50 GHz,3.30 GHz,3.30 GHz,2.70 GHz,2.30 GHz,2.30 GHz,2.50 GHz,2.66 GHz,2.90 GHz,3.00 GHz,2.70 GHz,2.40 GHz,2.50 GHz,2.50 GHz,1.40 GHz,1.70 GHz,2.50 GHz,2.50 GHz,1.60 GHz,2.40 GHz,3.20 GHz,3.10 GHz,2.80 GHz,2.60 GHz,1.80 GHz,3.00 GHz,2.70 GHz,3.10 GHz,2.80 GHz,2.90 GHz,3.30 GHz,3.00 GHz,3.40 GHz,2.30 GHz,3.40 GHz,3.10 GHz,3.40 GHz,2.90 GHz,2.70 GHz,1.70 GHz,2.50 GHz,2.50 GHz,2.90 GHz,3.20 GHz,3.10 GHz,2.90 GHz,2.70 GHz,1.90 GHz,1.50 GHz,1.50 GHz,1.80 GHz,2.60 GHz,2.60 GHz,2.80 GHz,1.30 GHz,1.40 GHz,1.40 GHz,1.50 GHz,3.00 GHz,2.70 GHz,3.10 GHz,2.80 GHz,3.20 GHz,2.90 GHz,2.90 GHz,3.40 GHz,3.40 GHz,3.10 GHz,2.30 GHz,1.60 GHz,2.70 GHz,2.50 GHz,1.40 GHz,2.40 GHz,2.60 GHz,2.70 GHz,1.60 GHz,1.90 GHz,3.10 GHz,2.80 GHz,2.60 GHz,2.50 GHz,1.60 GHz,1.50 GHz,1.60 GHz,1.60 GHz,2.70 GHz,3.00 GHz,2.80 GHz,1.90 GHz,2.00 GHz,2.90 GHz,2.90 GHz,1.80 GHz,2.00 GHz,2.90 GHz,2.70 GHz,3.50 GHz,3.50 GHz,3.20 GHz,2.50 GHz,3.30 GHz,3.00 GHz,3.20 GHz,2.90 GHz,2.60 GHz,1.70 GHz,1.60 GHz,2.80 GHz,2.60 GHz,1.60 GHz,2.70 GHz,2.90 GHz,1.80 GHz,2.20 GHz,2.30 GHz,3.10 GHz,2.80 GHz,3.10 GHz,3.10 GHz,2.50 GHz,3.20 GHz,2.70 GHz,2.30 GHz,2.20 GHz,3.30 GHz,2.70 GHz,2.40 GHz,3.50 GHz,2.30 GHz,2.30 GHz,2.60 GHz,2.70 GHz,1.90 GHz,2.00 GHz,1.80 GHz,3.10 GHz,2.90 GHz,2.80 GHz,2.30 GHz,2.80 GHz,3.20 GHz,2.50 GHz,1.20 GHz,1.20 GHz
Bus Speed,,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,2 GT/s,4 GT/s,2 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,,,,,,,,,,,,,,,,,,,,,,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,5 GT/s,2.5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,2.5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s
TDP,,65 W,65 W,15 W,15 W,15 W,15 W,15 W,,,,,,,,,,,,,,,,15 W,15 W,,,,,,,,,15 W,28 W,15 W,95 W,82 W,35 W,35 W,73 W,73 W,87 W,73 W,35 W,18 W,35 W,95 W,73 W,73 W,35 W,18 W,18 W,35 W,35 W,18 W,18 W,35 W,35 W,95 W,95 W,65 W,95 W,95 W,65 W,45 W,35 W,35 W,35 W,95 W,95 W,35 W,35 W,35 W,35 W,17 W,17 W,35 W,65 W,17 W,35 W,95 W,95 W,35 W,35 W,17 W,77 W,65 W,77 W,65 W,65 W,77 W,65 W,77 W,45 W,95 W,65 W,77 W,35 W,35 W,17 W,35 W,35 W,65 W,77 W,69 W,35 W,35 W,17 W,13 W,13 W,17 W,35 W,35 W,47 W,15 W,15 W,15 W,15 W,84 W,65 W,84 W,65 W,84 W,65 W,35 W,84 W,84 W,65 W,45 W,15 W,35 W,27 W,11.5 W,28 W,28 W,37 W,25 W,15 W,77 W,65 W,37 W,37 W,11.5 W,11.5 W,11.5 W,11.5 W,65 W,65 W,37 W,35 W,35 W,47 W,37 W,25 W,15 W,37 W,37 W,84 W,88 W,65 W,45 W,84 W,65 W,84 W,65 W,37 W,15 W,11.5 W,28 W,28 W,15 W,28 W,28 W,15 W,15 W,15 W,47 W,65 W,65 W,65 W,35 W,65 W,65 W,35 W,35 W,65 W,35 W,15 W,91 W,15 W,45 W,45 W,45 W,25 W,15 W,15 W,28 W,28 W,65 W,45 W,65 W,65 W,15 W,4.5 W,4.5 W
Configurable TDP-up Frequency,,,,1.50 GHz,1.50 GHz,1.20 GHz,2.60 GHz,2.60 GHz,1.80 GHz,2.40 GHz,1.80 GHz,2.60 GHz,2.40 GHz,2.50 GHz,2.50 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50 GHz,,2.40 GHz,,,,,,,,,,,,,2.70 GHz,1.60 GHz,1.60 GHz
Configurable TDP-up,,,,25 W,25 W,25 W,28 W,28 W,15 W,28 W,15 W,28 W,28 W,28 W,28 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 W,,25 W,,,,,,,,,,,,,25 W,7 W,7 W
Configurable TDP-down Frequency,,,,800 MHz,800 MHz,700 MHz,1.10 GHz,1.10 GHz,800 MHz,900 MHz,800 MHz,1.10 GHz,900 MHz,1.00 GHz,1.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 MHz,600 MHz,600 MHz,600 MHz,600 MHz,600 MHz,,,,2.10 GHz,,,,,,,,800 MHz,,800 MHz,,,,,,,,,,,,,800 MHz,600 MHz,600 MHz
Configurable TDP-down,,,,12 W,12 W,13 W,12 W,12 W,7 W,12 W,7 W,12 W,12 W,12 W,12 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5 W,23 W,23 W,9.5 W,7.5 W,7.5 W,,,,37 W,,,,,,,,7.5 W,,7.5 W,35 W,35 W,,,9.5 W,9.5 W,23 W,23 W,,35 W,,,7.5 W,3.5 W,3.5 W
Maximum Assured Power,,,,,,,,,,,,,,,,,,,,,,35 W,28 W,28 W,28 W,,,,35 W,,,35 W,28 W,28 W,35 W,28 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Assured Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20 GHz,,,1.20 GHz,800 MHz,1.00 GHz,1.20 GHz,1.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Assured Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20 GHz,,,2.20 GHz,2.50 GHz,2.50 GHz,2.20 GHz,2.50 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 W,7 W,,,,,,,,,,,,,,,,,,,,,,,6 W,,,,,,,,,,4.5 W,6 W,6 W,4.5 W,,,,,,,,,,,,,,,,,,,,,,6 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
