ARK | Intel® Product Specification Comparison
08/24/2023 09:50:59 PM
 ,Intel® Xeon® Processor E3-1501M v6 ,Intel® Xeon® Processor E3-1501L v6 ,Intel® Xeon® Processor E3-1505M v6 ,Intel® Xeon® Processor E3-1535M v6 ,Intel® Xeon® Processor E3-1240 v6 ,Intel® Xeon® Processor E3-1220 v6 ,Intel® Xeon® Processor E3-1245 v6 ,Intel® Xeon® Processor E3-1230 v6 ,Intel® Xeon® Processor E3-1280 v6 ,Intel® Xeon® Processor E3-1225 v6 ,Intel® Xeon® Processor E3-1275 v6 ,Intel® Xeon® Processor E3-1270 v6 ,Intel® Xeon® Processor E3-1505L v6 ,Intel® Xeon® Processor E3-1285 v6 
Processor Graphics ‡,Intel® HD Graphics P630,Intel® HD Graphics P630,Intel® HD Graphics P630,Intel® HD Graphics P630,,,Intel® HD Graphics P630,,,Intel® HD Graphics P630,Intel® HD Graphics P630,,Intel® HD Graphics P630,Intel® HD Graphics P630
Graphics Base Frequency,350 MHz,350 MHz,350 MHz,350 MHz,,,350 MHz,,,350 MHz,350 MHz,,350 MHz,350 MHz
Graphics Max Dynamic Frequency,1.00 GHz,1.00 GHz,1.10 GHz,1.10 GHz,,,1.15 GHz,,,1.15 GHz,1.15 GHz,,1.00 GHz,1.15 GHz
Graphics Video Max Memory,1.7 GB,1.7 GB,1.7 GB,1.7 GB,,,64 GB,,,64 GB,64 GB,,,64 GB
Graphics Output,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,N/A,N/A,eDP/DP/HDMI/DVI,N/A,N/A,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,N/A,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI
4K Support,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,No,No,Yes |  at 60Hz,No,No,Yes |  at 60Hz,Yes |  at 60Hz,No,Yes |  at 60Hz,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,N/A,N/A,4096x2160@24Hz,N/A,N/A,4096x2160@24Hz,4096x2160@24Hz,N/A,4096x2304@30Hz,4096x2160@24Hz
Max Resolution (DP)‡,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,N/A,N/A,4096x2304@60Hz,N/A,N/A,4096x2304@60Hz,4096x2304@60Hz,N/A,4096x2304@60Hz,4096x2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,N/A,N/A,4096x2304@60Hz,N/A,N/A,4096x2304@60Hz,4096x2304@60Hz,N/A,4096x2304@60Hz,4096x2304@60Hz
Max Resolution (VGA)‡,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
