ARK | Intel® Product Specification Comparison
08/24/2023 09:16:43 PM
 ,Intel® Celeron® Processor 3965Y ,Intel® Celeron® Processor 3867U ,Intel® Celeron® Processor 3205U ,Intel® Celeron® Processor 3215U ,Intel® Celeron® Processor 3755U ,Intel® Celeron® Processor 3765U ,Intel® Celeron® Processor 3855U ,Intel® Celeron® Processor 3955U ,Intel® Celeron® Processor 3965U ,Intel® Celeron® Processor 3865U 
Intel® Clear Video HD Technology,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
Intel® Clear Video Technology,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes
# of Displays Supported ‡,3,3,3,3,3,3,3,3,3,3
Device ID,0x591E,0x5906,,,,,0x1906,0x1906,0x5906,0x5906
Execution Units,,12,,,,,,,,
Intel® InTru™ 3D Technology,,,Yes,Yes,Yes,Yes,,,,
Intel® Flexible Display Interface (Intel® FDI),,,Yes,Yes,Yes,Yes,,,,
Max Resolution (VGA)‡,,,,,,,N/A,N/A,,

Expansion Options
PCI Express Revision,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
PCI Express Configurations ‡,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,4x1 2x4,4x1 2x4,4x1 2x4,4x1 2x4,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1
Max # of PCI Express Lanes,10,12,12,12,12,12,10,12,10,10

Package Specifications
Sockets Supported,FCBGA1515,FCBGA1356 | FC-BGA1356,FCBGA1168,FCBGA1168,FCBGA1168,FCBGA1168,FCBGA1356,FCBGA1356,FCBGA1356 | FPBGA1356,FCBGA1356 | FPBGA1356
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1
TJUNCTION,100°C,100°C,105°C,105°C,105°C,105°C,100°C,100°C,100°C,100°C
Package Size,20mm X 16.5mm,42mm X 24mm,40mm x 24mm x 1.3mm,40mm x 24mm x 1.3mm,40mm x 24mm x 1.3mm,40mm x 24mm x 1.3mm,42mm X 24mm,42mm X 24mm,42mm X 24mm,42mm X 24mm

Advanced Technologies
