ARK | Intel® Product Specification Comparison,,,,,,,,,,,,,,,,
08/24/2023 08:18:48 PM,,,,,,,,,,,,,,,,
 ,Intel® Core™ i3-7100E Processor ,Intel® Core™ i3-7100 Processor ,Intel® Core™ i3-7300T Processor ,Intel® Core™ i3-7300 Processor ,Intel® Core™ i3-7320 Processor ,Intel® Core™ i3-7100T Processor ,Intel® Core™ i3-7350K Processor ,Intel® Core™ i3-7167U Processor ,Intel® Core™ i3-7100E Processor ,Intel® Core™ i3-7100 Processor ,Intel® Core™ i3-7300T Processor ,Intel® Core™ i3-7300 Processor ,Intel® Core™ i3-7320 Processor ,Intel® Core™ i3-7100T Processor ,Intel® Core™ i3-7350K Processor ,Intel® Core™ i3-7167U Processor 
Essentials,,,,,,,,,,,,,,,,
Product Collection,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors
Max Memory Size (dependent on memory type),64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB
Memory Types,DDR4-2400,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133 |  LPDDR3-1866 |  DDR3L-1600,DDR4-2400,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133 |  LPDDR3-1866 |  DDR3L-1600
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,34.1 GB/s,,,,,,,34.1 GB/s,34.1 GB/s,,,,,,,34.1 GB/s
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,,,,,,,,,,,,,,,,
Processor Graphics,,,,,,,,,,,,,,,,
Processor Graphics ‡,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® Iris® Plus Graphics 650,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® Iris® Plus Graphics 650
Graphics Base Frequency,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz
Graphics Max Dynamic Frequency,950 MHz,1.10 GHz,1.10 GHz,1.15 GHz,1.15 GHz,1.10 GHz,1.15 GHz,1.00 GHz,950 MHz,1.10 GHz,1.10 GHz,1.15 GHz,1.15 GHz,1.10 GHz,1.15 GHz,1.00 GHz
Graphics Video Max Memory,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB
Graphics Output,eDP/DP/HDMI/DVI,,,,,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,,,eDP/DP/HDMI/DVI
4K Support,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096x2304@30Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@30Hz
