architecture,Launch,Code name(s),Process,Transistors (billion),node,Core config,Bus Interface,L2 Cache (MB),Clock speeds Basecoreclock(MHz),Clock speeds Boostcoreclock(MHz),Clock speeds Memory(MT/s),Memory Size(GB),Memory Bandwidth(GB/s),Memory Type,Memory Buswidth(bit),Fillrate Pixel(GP/s),Fillrate Texture(GT/s),processing power (GFLOPS)_single_precision,processing power (GFLOPS)_double_precision,processing power (GFLOPS)_half_precision,processing power (TFLOPS) Tensor compute (FP16),Ray tracing Performance Rays/s(Billions),Ray-tracing Performance RTX OPS/s (Trillions),tdp,Features,hw_model,Chips,Thread processors(total),memory_bus,memory_size,clock,shaders_cuda_cores,shaders_clock,shaders_max_clock,memory_bus_width,memory_clock,memory_bandwidth,processing power (GFLOPS)_half_precision_tensor,cuda_compute_capability,"Notes, form factor Unnamed: 18_level_2",model,codes,codes2
Kepler,1995-01-01,0,0,0,0,0,PCIe 3.0 x16,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,130,Yes,GRID K1,4x GK107,4x 192,DDR3,4x 4 GB,0,0,0,0,0,0,0,0,0,0,0,GK107,['GK107']
Kepler,1995-01-01,0,0,0,0,0,PCIe 3.0 x16,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,225,Yes,GRID K2,2x GK104-895,2x 1536,GDDR5,2x 4 GB,0,0,0,0,0,0,0,0,0,0,0,GK104-895,['GK104-895']
Kepler,1995-01-01,0,0,0,0,0,PCIe 3.0 x16,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,225,Yes,GRID K340,4x GK107,4x 384,GDDR5,4x 1 GB,0,0,0,0,0,0,0,0,0,0,0,GK107,['GK107']
Kepler,1995-01-01,0,0,0,0,0,PCIe 3.0 x16,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,225,Yes,GRID K520,2x GK104,2x 1536,GDDR5,2x 4 GB,0,0,0,0,0,0,0,0,0,0,0,GK104,['GK104']
Tesla,2007-05-02,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,345.6,No,0,0,0,0,170.9,Yes,C870 GPU Computing Module,1× G80,0,GDDR3,1.5,600,128,1350,—,384,1600,76.8,No,1.0,"Internal PCIe GPU (full-height, dual-slot)",0,G80,['G80']
Tesla,2007-05-02,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,691.2,No,0,0,0,0,520,Yes,D870 Deskside Computer,2× G80,0,GDDR3,2× 1.5,600,256,1350,—,2× 384,1600,2× 76.8,No,1.0,Deskside or 3U rack-mount external GPUs,0,G80,['G80']
Tesla,2007-05-02,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1382.4,No,0,0,0,0,0,Yes,S870 GPU Computing Server,4× G80,0,GDDR3,4× 1.5,600,512,1350,—,4× 384,1600,4× 76.8,No,1.0,"1U rack-mount external GPUs, connect via 2× PCIe (×16)",0,G80,['G80']
Tesla,2009-04-09,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,622.08,77.76,0,0,0,0,187.8,Yes,C1060 GPU Computing Module,1× GT200,0,GDDR3,4,602,240,"1,296",—,512,1600,102.4,No,1.3,"Internal PCIe GPU (full-height, dual-slot)",0,GT200,['GT200']
Tesla,2008-06-01,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,2488.3,311.0,0,0,0,0,800,Yes,"S1070 GPU Computing Server ""400 configuration""",4× GT200,0,GDDR3,4× 4,602,960,1296,—,4× 512,1538.4,4× 98.5,No,1.3,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)",0,GT200,['GT200']
Tesla,1995-01-01,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,2764.8,345.6,0,0,0,0,800,Yes,"S1070 GPU Computing Server ""500 configuration""",4× GT200,0,GDDR3,4× 4,602,960,1440,—,4× 512,1538.4,4× 98.5,No,1.3,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)",0,GT200,['GT200']
Tesla,2008-06-01,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,2764.8,345.6,0,0,0,0,0,Yes,S1075 GPU Computing Server,4× GT200,0,GDDR3,4× 4,602,960,1440,—,4× 512,1538.4,4× 98.5,No,1.3,"1U rack-mount external GPUs, connect via 1× PCIe (×8 or ×16)",0,GT200,['GT200']
Tesla,2008-07-25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1244.2,155.5,0,0,0,0,0,Yes,Quadro Plex 2200 D2 Visual Computing System,2× GT200GL,0,GDDR3,2× 4,648,480,1296,—,2× 512,1600,2× 102.4,No,1.3,Deskside or 3U rack-mount external GPUs with 4 dual-link DVI outputs,0,GT200GL,['GT200GL']
Tesla,2008-07-25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,2488.3,311.0,0,0,0,0,1200,Yes,Quadro Plex 2200 S4 Visual Computing System,4× GT200GL,0,GDDR3,4× 4,648,960,1296,—,4× 512,1600,4× 102.4,No,1.3,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)",0,GT200GL,['GT200GL']
Fermi,2011-07-25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1030.4,515.2,0,0,0,0,247,Yes,C2050 GPU Computing Module,1× GF100,0,GDDR5,3,575,448,1150,—,384,3000,144,No,2.0,"Internal PCIe GPU (full-height, dual-slot)",0,GF100,['GF100']
Fermi,2011-07-25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1030.4,515.2,0,0,0,0,225,Yes,M2050 GPU Computing Module,1× GF100,0,GDDR5,3,575,448,1150,—,384,3092,148.4,No,2.0,"Internal PCIe GPU (full-height, dual-slot)",0,GF100,['GF100']
Fermi,2011-07-25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1030.4,515.2,0,0,0,0,247,Yes,C2070 GPU Computing Module,1× GF100,0,GDDR5,6,575,448,1150,—,384,3000,144,No,2.0,"Internal PCIe GPU (full-height, dual-slot)",0,GF100,['GF100']
Fermi,2011-07-25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1030.4,515.2,0,0,0,0,225,Yes,C2075 GPU Computing Module,1× GF100,0,GDDR5,6,575,448,1150,—,384,3000,144,No,2.0,"Internal PCIe GPU (full-height, dual-slot)",0,GF100,['GF100']
Fermi,2011-07-25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1030.4,515.2,0,0,0,0,225,Yes,M2070/M2070Q GPU Computing Module,1× GF100,0,GDDR5,6,575,448,1150,—,384,3132,150.336,No,2.0,"Internal PCIe GPU (full-height, dual-slot)",0,GF100,['GF100']
Fermi,2011-07-25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1331.2,665.6,0,0,0,0,225,Yes,M2090 GPU Computing Module,1× GF110,0,GDDR5,6,650,512,1300,—,384,3700,177.6,No,2.0,"Internal PCIe GPU (full-height, dual-slot)",0,GF110,['GF110']
Fermi,2011-07-25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,4121.6,2060.8,0,0,0,0,900,Yes,S2050 GPU Computing Server,4× GF100,0,GDDR5,4× 3,575,1792,1150,—,4× 384,3,4× 148.4,No,2.0,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)",0,GF100,['GF100']
Fermi,1995-01-01,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,4121.6,2060.8,0,0,0,0,900,Yes,S2070 GPU Computing Server,4× GF100,0,GDDR5,4× 6,575,1792,1150,—,4× 384,3,4× 148.4,No,2.0,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)",0,GF100,['GF100']
Kepler,2012-05-01,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,4577,190.7,0,0,0,0,225,Yes,K10 GPU accelerator,2× GK104,0,GDDR5,2× 4,—,3072,745,?,2× 256,5000,2× 160,No,3.0,"Internal PCIe GPU (full-height, dual-slot)",0,GK104,['GK104']
Kepler,2012-11-12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,3524,1175,0,0,0,0,225,Yes,K20 GPU accelerator,1× GK110,0,GDDR5,5,—,2496,706,758,320,5200,208,No,3.5,"Internal PCIe GPU (full-height, dual-slot)",0,GK110,['GK110']
Kepler,2012-11-12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,3935,1312,0,0,0,0,235,Yes,K20X GPU accelerator,1× GK110,0,GDDR5,6,—,2688,732,?,384,5200,250,No,3.5,"Internal PCIe GPU (full-height, dual-slot)",0,GK110,['GK110']
Kepler,2013-10-08,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"4,291–5,040","1,430–1,680",0,0,0,0,235,Yes,K40 GPU accelerator,1× GK110B,0,GDDR5,12,—,2880,745,875,384,6000,288,No,3.5,"Internal PCIe GPU (full-height, dual-slot)",0,GK110B,['GK110B']
Kepler,2014-11-17,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"5,591–8,736","1,864–2,912",0,0,0,0,300,Yes,K80 GPU accelerator,2× GK210,0,GDDR5,2× 12,—,4992,560,875,2× 384,5000,2× 240,No,3.7,"Internal PCIe GPU (full-height, dual-slot)",0,GK210,['GK210']
Maxwell,2015-11-10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"1,786–2,195",55.81–68.61,0,0,0,0,50–75,Yes,M4 GPU accelerator,1× GM206,0,GDDR5,4,—,1024,872,1072,128,5500,88,No,5.2,"Internal PCIe GPU (half-height, single-slot)",0,GM206,['GM206']
Maxwell,2015-08-30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"2,218–3,229",69.3–100.9,0,0,0,0,75–100,Yes,M6 GPU accelerator,1× GM204-995-A1,0,GDDR5,8,—,1536,722,1051,256,4600,147.2,No,5.2,Internal MXM GPU,0,GM204-995-A1,['GM204-995-A1']
Maxwell,1995-01-01,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,5289,165.3,0,0,0,0,225,Yes,M10 GPU accelerator,4× GM107,0,GDDR5,4× 8,—,2560,1033,?,4× 128,5188,4× 83,No,5.2,"Internal PCIe GPU (full-height, dual-slot)",0,GM107,['GM107']
Maxwell,2015-11-10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"5,825–6,844",182.0–213.9,0,0,0,0,250,Yes,M40 GPU accelerator,1× GM200,0,GDDR5,12 or 24,—,3072,948,1114,384,6000,288,No,5.2,"Internal PCIe GPU (full-height, dual-slot)",0,GM200,['GM200']
Maxwell,2015-08-30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"7,365–9,650",230.1–301.6,0,0,0,0,225–300,Yes,M60 GPU accelerator,2× GM204-895-A1,0,GDDR5,2× 8,—,4096,899,1178,2× 256,5000,2× 160,No,5.2,"Internal PCIe GPU (full-height, dual-slot)",0,GM204-895-A1,['GM204-895-A1']
Pascal,2016-09-13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"4,147–5,443",129.6–170.1,0,0,0,0,50-75,Yes,P4 GPU accelerator,1× GP104,0,GDDR5,8,—,2560,810,1063,256,6000,192.0,No,6.1,PCIe card,0,GP104,['GP104']
Pascal,2017-03-24,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,6169,192.8,0,0,0,0,90,Yes,P6 GPU accelerator,1× GP104-995-A1,0,GDDR5,16,—,2048,1012,1506,256,3003,192.2,No,6.1,MXM card,0,GP104-995-A1,['GP104-995-A1']
Pascal,2016-09-13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"10,007–11,758",312.7–367.4,0,0,0,0,250,Yes,P40 GPU accelerator,1× GP102,0,GDDR5,24,—,3840,1303,1531,384,7200,345.6,No,6.1,PCIe card,0,GP102,['GP102']
