hw_model,Launch,Code name,Fab (nm),Bus interface,clock,Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Processing power (GFLOPS) Single precision,Supported API version Direct3D,Supported API version OpenGL,TDP (Watts)
Quadro FX 370M,"Aug 15, 2008",G98M,65,PCIe 1.0 x16,550,1400,1200,8:4:4,2.2,2.2,256,9.6,GDDR3,64,33.6,10.0,3.3,20
Quadro FX 570M,"Jun 1, 2007",G84M,80,PCIe 1.0 x16,475,950,1400,32:16:8,3.8,7.6,512,22.4,GDDR3,128,91.2,10.0,3.3,45
Quadro FX 770M,"Aug 14, 2008",G96M,65,PCIe 1.0 x16,500,1250,1600,32:16:8,4.0,8.0,512,25.6,GDDR3,128,119.0,10.0,3.3,35
Quadro FX 1700M,"Oct 1, 2008",G96M,65,PCIe 1.0 x16,625,1550,1600,32:16:8,5.0,10.0,512,25.6,GDDR3,128,148.8,10.0,3.3,50
Quadro FX 2700M,"Aug 14, 2008",G94M,65,PCIe 1.0 x16,530,1325,1600,48:24:16,8.48,12.72,512,51.2,GDDR3,256,190.8,10.0,3.3,65
Quadro FX 3700M,"Aug 14, 2008",G92M,65,PCIe 1.0 x16,530,1375,1600,128:64:16,8.8,35.2,1024,51.2,GDDR3,256,528.0,10.0,3.3,75
