hw_model,Launch,Code name,Fab (nm),Bus interface,clock,Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,Supported API version Direct3D,Supported API version OpenGL,TDP (Watts),Notes
Quadro FX 370,"Sep 12, 2007",G84-825-A2,80,PCIe x16,360,720,800,16:8:4,1.44,2.88,256,6.4,DDR2,64,34.56,-,10.0,3.3,35,0
Quadro FX 370 LP,"Nov 6, 2008",G98,80,PCIe x16,540,1300,1000,8:8:4,2.16,4.32,256,8,DDR2,64,25.92,-,10.0,3.3,25,DMS-59 for two Single Link DVI
Quadro FX 470,"Sep 12, 2007",MCP7A-U,65,PCIe 2.0 x16(Integrated),580,1400,800(system memory),16:8:4,2.32,4.64,Up to 256MB from system memory.,12.8,DDR2,128,67.2,-,10.0,3.3,30,based on GeForce 9400 mGPU
Quadro FX 570,"Sep 12, 2007",G84-850-A2,80,PCIe x16,460,920,800,16:8:8,3.68,3.68,256,12.8,DDR2,128,44.1,-,10.0,3.3,38,0
Quadro FX 1700,"Sep 12, 2007",G84-875-A2,80,PCIe x16,460,920,800,32:16:8,3.68,7.36,512,12.8,DDR2,128,88.32,-,10.0,3.3,42,0
Quadro FX 3700,"Jan 8, 2008",G92-875-A2,65,PCIe 2.0 x16,500,1250,1600,112:56:16,8,28,512,51.2,GDDR3,256,420,-,10.0,3.3,78,"Stereo display, SLI"
Quadro FX 4700X2,"Apr 18, 2008",2x G92-880-A2,65,PCIe 2.0 x16,600,1500,1600,2x 128:64:16,2x 9.6,2x 38.4,2x 1024,2x 51.2,GDDR3,2x 256,2x 576,-,10.0,3.3,226,SLI
Quadro VX 200,"Jan 8, 2008",G92-851-A2,65,PCIe 2.0 x16,450,1125,1600,96:48:16,7.2,21.6,512,51.2,GDDR3,256,324,-,10.0,3.3,75,"2x Dual-link DVI, S-Video, optimised for Autodesk AutoCAD"
