hw_model,Launch,Code name,Fab (nm),Bus interface,clock,Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,Supported API version Direct3D,Supported API version OpenGL,Supported API version Vulkan,Supported API version CUDA,TDP (Watts),Notes
Quadro K420,"Jul 22, 2014",GK107,28,PCIe 2.0 x16,780,780.0,1800,192:16:16(1 SMX),12.48,12.48,1024 2048[295],29.0,DDR3,128,299.52,12.48,11.0,4.6,1.2,3.0,41,0
Quadro K620,"Jul 22, 2014",GM107-850,28,PCIe 2.0 x16,1000,1000.0,900(1800),384:24:16(3 SMM),16.0,24.0,2048,28.8,DDR3,128,768.0,24.0,12.0,4.6,1.3,5.0,45,"6.3"" Card"
Quadro K1200,"Jan 28, 2015",GM107-860,28,PCIe 2.0 x16,954,0.0,1253,512:32:16(4 SMM),15.3,30.5,4096,80.2,GDDR5,128,1083.0,0.0,12.0,4.6,1.3,5.0,45,"7.97"" Card"
Quadro K2200,"Jul 22, 2014",GM107-875-A2[296],28,PCIe 2.0 x16,1046,1046.0,1253(5012),640:40:16(5 SMM),16.7,41.8,4096,80.2,GDDR5,128,1338.9,41.8,12.0,4.6,1.3,5.0,68,"7.97"" Card"
Quadro K4200,"Jul 22, 2014",GK104,28,PCIe 2.0 x16,780,780.0,1350(5400),1344:112:32(7 SMX),24.96,87.36,4096,172.8,GDDR5,256,2096.64,87.36,11.0,4.6,1.2,3.0,105,"9.5"" Card"
Quadro K5200,"Jul 22, 2014",GK110B,28,PCIe 3.0 x16,650,650.0,1500(6000),2304:192:32(12 SMX),20.8,124.8,8192,192.0,GDDR5,256,2995.2,124.8,11.0,4.6,1.2,3.5,150,"10.5"" Card"
