hw_model,Launch,Code name,Fab (nm),Bus interface,clock,Shader clock (MHz),Memory clock (MHz),Core config12,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Processing power (GFLOPS) Single precision,Supported API version Direct3D,Supported API version OpenGL,TDP (Watts),Notes
Quadro 500M,"Feb 22, 2011",GF108,40,PCIe 2.0 x16,700,1400,1800,96:16:4,2.8,11.2,1024,28.8,DDR3,128,268.8,11.0,4.5,35,0
Quadro 1000M,"Jan 13, 2011",GF108,40,PCIe 2.0 x16,700,1400,1800,96:16:4,2.8,11.2,2048,28.8,DDR3,128,268.8,11.0,4.5,45,Dell Precision M4600
Quadro 2000M,"Jan 13, 2011",GF106,40,PCIe 2.0 x16,550,1100,1800,192:32:16,8.8,17.6,2048,28.8,DDR3,128,422.4,11.0,4.5,55,Dell Precision M4600
Quadro 3000M,"Feb 22, 2011",GF104,40,PCIe 2.0 x16,450,900,2500,240:40:32,14.4,18.0,2048,80.0,GDDR5,256,432.0,11.0,4.5,75,Dell Precision M6600
Quadro 4000M,"Feb 22, 2011",GF104,40,PCIe 2.0 x16,475,950,2500,336:56:32,15.2,26.6,2048,80.0,GDDR5,256,638.4,11.0,4.5,100,Dell Precision M6600
Quadro 5000M,"Jul 27, 2010",GF100,40,PCIe 2.0 x16,405,810,2400,320:40:32,12.96,16.2,2048,76.8,GDDR5,256,518.4,11.0,4.5,100,Dell Precision M6500
Quadro 5010M,"Feb 22, 2011",GF110,40,PCIe 2.0 x16,450,900,2600,384:48:32,14.4,21.6,4096,83.2,GDDR5,256,691.2,11.0,4.5,100,Dell Precision M6600
