hw_model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed Core (MHz),Clock speed Shader (MHz),Clock speed Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Supported API version Direct3D,Supported API version OpenGL,Processing power (GFLOPS),TDP (Watts),Notes
GeForce G210M,"June 15, 2009",GT218,40,PCIe 2.0 x16,16:8:4,625,1500,1600,2.5,5.0,512,12.8,GDDR3,64,10.1,3.3,72,14,Lower clocked versions of the GT218 core is also known as Nvidia ION 2
GeForce GT 220M,2009,G96b,55,PCIe 2.0 x16,32:16:8,500,1250,10001600,4.0,8.0,1024,1625.6,DDR2GDDR3,128,10.1,3.3,120,14,rebranded 9600M GT @55 nm node shrink
GeForce GT 230M,"June 15, 2009",GT216,40,PCIe 2.0 x16,48:16:8,500,1100,1600,4.0,8.0,1024,25.6,GDDR3,128,10.1,3.3,158,23,0
GeForce GT 240M,"June 15, 2009",GT216,40,PCIe 2.0 x16,48:16:8,550,1210,1600,4.4,8.8,1024,25.6,GDDR3,128,10.1,3.3,174,23,0
GeForce GTS 250M,"June 15, 2009",GT215,40,PCIe 2.0 x16,96:32:8,500,1250,3200,4.0,16.0,1024,51.2,GDDR5,128,10.1,3.3,360,28,0
GeForce GTS 260M,"June 15, 2009",GT215,40,PCIe 2.0 x16,96:32:8,550,1375,3600,4.4,17.6,1024,57.6,GDDR5,128,10.1,3.3,396,38,0
GeForce GTX 260M,"March 3, 2009",G92b,55,PCIe 2.0 x16,112:56:16,550,1375,1900,8.8,30.8,1024,60.8,GDDR3,256,10.1,3.3,462,65,0
GeForce GTX 280M,"March 3, 2009",G92b,55,PCIe 2.0 x16,128:64:16,585,1463,1900,9.36,37.44,1024,60.8,GDDR3,256,10.1,3.3,562,75,0
GeForce GTX 285M,February 2010,G92b,55,PCIe 2.0 x16,128:64:16,600,1500,2000,9.6,38.4,1024,64.0,GDDR3,256,10.1,3.3,576,75,Higher Clocked Version of GTX280M with new memory
