hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,clock,Memory clock (MHz),Core config,Fillrate MOperations/s,Fillrate MPixels/s,Fillrate MTexels/s,Fillrate MVertices/s,Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),GFLOPSFP32
GeForce2 MX IGP + nForce 220/420,"June 4, 2001",NV1A (IGP) / NV11 (MX),TSMC180 nm,20[10],64,FSB,175,133,2:4:2,350,350,700,0,Up to 32 system RAM,2.1284.256,DDR,64128,0.7
GeForce2 MX200,"March 3, 2001",NV1A (IGP) / NV11 (MX),TSMC180 nm,20[10],64,"AGP 4x, PCI",175,166,2:4:2,350,350,700,0,3264,1.328,SDR,64,0.7
GeForce2 MX,"June 28, 2000",NV1A (IGP) / NV11 (MX),TSMC180 nm,20[10],64,"AGP 4x, PCI",175,166,2:4:2,350,350,700,0,3264,2.656,SDR,128,0.7
GeForce2 MX400,"March 3, 2001",NV1A (IGP) / NV11 (MX),TSMC180 nm,20[10],64,"AGP 4x, PCI",200,"166,200 (SDR)166 (DDR)",2:4:2,400,400,800,0,3264,1.328 3.200 2.656,SDRDDR,64/128 (SDR)64 (DDR),0.8
GeForce2 GTS,"April 26, 2000",NV15,TSMC180 nm,25[11],88,AGP 4x,200,166,4:8:4,800,800,1600,0,3264,5.312,DDR,128,1.6
GeForce2 Pro,"December 5, 2000",NV15,TSMC180 nm,25[11],88,AGP 4x,200,200,4:8:4,800,800,1600,0,3264,6.4,DDR,128,1.6
GeForce2 Ti,"October 1, 2001",NV15,TSMC150 nm,25[11],88,AGP 4x,250,200,4:8:4,1000,1000,2000,0,3264,6.4,DDR,128,2.0
GeForce2 Ultra,"August 14, 2000",NV15,TSMC180 nm,25[11],88,AGP 4x,250,230,4:8:4,1000,1000,2000,0,64,7.36,DDR,128,2.0
