hw_model,Launch,Code name,Fab (nm),Bus interface,clock,Boost clock (MHz),Memory clock (MHz),Core config1,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,Supported API version Direct3D,Supported API version OpenGL,Supported API version Vulkan,Supported API version OpenCL,Supported API version CUDA,TDP (Watts),Notes
Quadro RTX 4000,"Nov 13, 2018",TU104-850-A1,12,PCIe 3.0 x16,1005,1545,1625(13000),2304:144:64:36:288,98.9,222.5,8,416,GDDR6,256,7119,222.5,12.2,4.6,1.3,3.0,7.5,100-125,3x DisplayPort 1x USB Type-C
Quadro RTX 5000,"Aug 13, 2018",TU104-875-A1,12,PCIe 3.0 x16,1620,1815,1750(14000),3072:192:64:48:384,116.2,348.5,16,448,GDDR6,256,11151,348.5,12.2,4.6,1.3,3.0,7.5,125-230,3x DisplayPort 1x USB Type-C
Quadro RTX 6000,"Aug 13, 2018",TU102-875-A1,12,PCIe 3.0 x16,1440,1770,1750(14000),4608:288:96:72:576,169.9,509.8,24,672,GDDR6,384,16312,509.8,12.2,4.6,1.3,3.0,7.5,100-260,3x DisplayPort 1x USB Type-C
Quadro RTX 8000,"Aug 13, 2018",TU102-875-A1,12,PCIe 3.0 x16,1395,1770,1750(14000),4608:288:96:72:576,169.9,509.8,48,672,GDDR6,384,16312,509.8,12.2,4.6,1.3,3.0,7.5,100-260,3x DisplayPort 1x USB Type-C
