hw_model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config,Bus Interface,L2 Cache(MB),Clock speeds Base core clock (MHz),Clock speeds Boost core clock (MHz),Clock speeds Memory (MT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,Processing power (GFLOPS) Half precision,Processing power (GFLOPS) Tensor compute + Single precision,TDP (Watts),NVLink Support,Release price (USD) MSRP,Release price (USD) Founders Edition
Nvidia TITAN V[132],"December 7, 2017",GV100-400-A1,TSMC12FFN,21.1,815,5120:320:96:640(80) (6),PCIe 3.0 x16,4.5,1200,1455,1700,12,652.8,HBM2,3072,153.6186.2,384.0465.6,"12,288.014,899.2","6,144.07,449.6","24,576.029,798.4","110,592.0134,092.8",250,No,$2999,—
Nvidia TITAN VCEO Edition[133][134],"June 21, 2018",GV-100-???-A1,TSMC12FFN,21.1,815,5120:320:128:640(80) (6),PCIe 3.0 x16,6.0,1200,1455,1700,32,870.4,HBM2,4096,153.6186.2,384.0465.6,"12,288.014,899.2","6,144.07,449.6","24,576.029,798.4","110,592.0134,092.8",250,No,—,—
