hw_model,Launch,Code name,Fab (nm),Bus interface,clock,Boost clock (MHz),L2 Cache (MB),Core config1,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Memory clock (MHz),Memory Bus type,Memory Bus width (bit),Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Half Precision,Processing power (GFLOPS) Double precision,Supported API version Direct3D,Supported API version OpenGL,Supported API version Vulkan,Supported API version OpenCL,Supported API version CUDA,TDP (Watts),Notes
RTX A500[313],"Mar 22, 2022",0,Samsung 8N,PCIe 4.0,0.0,1710,0.0,2048:64:32:16:64,0.0,0.0,4,112,1750,GDDR6,64,7300,0.0,0.0,12.2,4.6,1.3,3.0,0.0,60,0.0
RTX A1000[313],Unknown,0,Samsung 8N,PCIe 4.0,0.0,1845,0.0,2048:64:32:16:64,0.0,0.0,4,224,1750,GDDR6,128,7500,0.0,0.0,12.2,4.6,1.3,3.0,0.0,95,0.0
RTX A1000 6GB,Unknown,0,Samsung 8N,PCIe 4.0,0.0,1830,0.0,2560:80:48:20:80,0.0,0.0,6,168,1750,GDDR6,96,9300,0.0,0.0,12.2,4.6,1.3,3.0,0.0,95,0.0
RTX A2000,"Apr 12, 2021",0,Samsung 8N,PCIe 4.0,0.0,1830,0.0,2560:80:48:20:80,0.0,0.0,4,192,1500,GDDR6,128,9300,0.0,0.0,12.2,4.6,1.3,3.0,0.0,95,0.0
RTX A2000 8GB[313],"Mar 22, 2022",0,Samsung 8N,PCIe 4.0,0.0,1830,0.0,2560:80:48:20:80,0.0,0.0,8,224,1750,GDDR6,128,9300,0.0,0.0,12.2,4.6,1.3,3.0,0.0,95,0.0
RTX A3000,"Apr 12, 2021",GA104-A1,Samsung 8N,PCIe 4.0,0.0,1560,4.0,4096:128:64:32:128,0.0,199.69,6,336,1750,GDDR6,192,12800,0.0,399.38,12.2,4.6,1.3,3.0,0.0,130,0.0
RTX A3000 12GB[313],"Mar 22, 2022",GA104-A1,Samsung 8N,PCIe 4.0,0.0,1725,4.0,4096:128:64:32:128,0.0,220.81,12,336,1750,GDDR6,192,14100,0.0,441.62,12.2,4.6,1.3,3.0,0.0,130,0.0
RTX A4000,"Apr 12, 2021",GA104-A1,Samsung 8N,PCIe 4.0,0.0,1740,4.0,5120:160:80:40:160,0.0,278.41,16,448,1750,GDDR6,256,17800,0.0,556.83,12.2,4.6,1.3,3.0,0.0,140,0.0
RTX A4500[313],"Mar 22, 2022",GA104-A1,Samsung 8N,PCIe 4.0,0.0,1575,4.0,5888:184:96:46:184,0.0,289.81,16,512,2000,GDDR6,256,18500,0.0,579.63,12.2,4.6,1.3,3.0,0.0,140,0.0
RTX A5000[313],"Apr 12, 2021",GA104-A1,Samsung 8N,PCIe 4.0,0.0,1770,4.0,6144:192:96:48:192,0.0,339.86,16,448,1750,GDDR6,256,21700,0.0,679.72,12.2,4.6,1.3,3.0,0.0,165,0.0
RTX A5500[350][313],"Mar 22, 2022",GA103-A1,Samsung 8N,PCIe 4.0,0.0,1665,4.0,7424:232:96:58:232,159.85,386.3,16,512,2000,GDDR6,256,24700,0.0,772.6,12.2,4.6,1.3,3.0,0.0,165,0.0
