hw_model,Launch,Code name,Fab (nm),Bus interface,clock,Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Processing power (GFLOPS) Single precision,Supported API version Direct3D,Supported API version OpenGL,TDP (Watts)
Quadro FX 380M,"Jan 7, 2010",GT218M,40,PCIe 2.0 x16,625,1530,1600,16:8:4,2.5,5.0,512,12.8,GDDR3,64,73.44,10.1,3.3,25
Quadro FX 880M,"Jan 7, 2010",GT216M,40,PCIe 2.0 x16,550,1210,1600,48:16:8,4.4,8.8,1024,25.6,GDDR3,128,174.24,10.1,3.3,35
Quadro FX 1800M,"Jun 15, 2009",GT215M,40,PCIe 2.0 x16,450,1080,16002200,72:24:8,3.6,10.8,1024,25.635.2,GDDR3GDDR5,128,233.28,10.1,3.3,45
Quadro FX 2800M,"Dec 1, 2009",G92M,55,PCIe 2.0 x16,500,1250,2000,96:48:16,8.0,16.0,1024,64,GDDR3,256,360.0,10.0,3.3,75
Quadro FX 3800M,"Aug 14, 2008",G92M,55,PCIe 2.0 x16,675,1688,2000,128:64:16,10.8,43.2,1024,64,GDDR3,256,648.192,10.0,3.3,100
