hw_model,launch,Code name,Fab,Transistors (million),Node,bus,clock,memory_clock,Core config_x,Fillrate MOperations/s,Fillrate MPixels/s,Fillrate MTexels/s,Fillrate MVertices/s,memory_size,memory_bandwidth,memory_bus,memory_bus_width,GFLOPS FP32,Supported API version Direct3D,Supported API version OpenGL,Clock rate Core (MHz),Clock rate Shader (MHz),Clock rate Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),processing power (GFLOPS)_single_precision_x,tdp,Comments,Memory configuration Size (MB),Memory configuration Bandwidth (GB/s),Memory configuration DRAM type,Memory configuration Bus width (bit),Clock rate Memory (MT/s),Release Price (USD),SM count,Supported API version Vulkan,Supported API version OpenCL,processing power (GFLOPS)_double_precision_x,Supported API version OpenCL8,Clock rate Average Boost (MHz),Clock rate Max Boost (MHz),SMX count,Clock rate Base (MHz),Clock rate Max Boost,Process_x,Transistors (billion),L2 Cache (MB)_x,Clock Speeds Base (MHz),Clock Speeds Boost (MHz),Clock Speeds Memory (MT/s),SLI support,Release price (USD) MSRP,Clock speeds Base core (MHz),Clock speeds Boost core (MHz),Clock speeds Memory (MT/s),processing power (GFLOPS)_half_precision_x,Release price (USD) Founders Edition,Clock speeds Base core clock (MHz),Clock speeds Boost core clock (MHz),processing power (GFLOPS) Tensor compute + Single precision,NVLink Support,Clock speeds Memory (GT/s),NVLink support,Release price (USD),processing power (GFLOPS) Tensor compute (FP16),Ray-tracing Performance Rays/s (Billions),Ray-tracing Performance RTX OPS/s (Trillions)_x,processing power (TFLOPS)_single_precision,processing power (TFLOPS)_double_precision,processing power (TFLOPS)_half_precision,processing power (TFLOPS) Tensor compute (FP16) (2:1 sparse),Ray-tracing Performance (TFLOPS),API support Direct3D,API support OpenGL,Supported API version OpenGL Hardware,Supported API version OpenGL Drivers (Software),Clock speed Core (MHz),Clock speed Shader (MHz),Clock speed Memory (MHz),processing power (GFLOPS),Notes,Clock speed Memory (MT/s),Supported API version CUDA,Supported API version CUDA Compute Capability,Notes (original research),Clock speed Min (MHz),Clock speed Average (MHz),Supported API version DirectX,processing power (GFLOPS)_single_precision (boost),Memory (MT/s),processing power (TFLOPS) Tensor compute (FP16)_x,Shader clock (MHz),Boost clock (MHz),Memory clock (MT),processing power (GFLOPS) Tensor compute (FP16) (sparse),Size Profile,Size Slots,Nvidia Optimustechnology,Memory Memory clock (MHz),processing power (GFLOPS) Tensor,Fillrate MTri/s,processing power (GFLOPS) Ray Tracing Performance,Deep Learning TOPS (INT8),Features Video Processing Engine (VPE),Features OpenEXR HDR,Features Scalable Link Interface (SLI),Features TurboCache,Features PureVideo WMV9 Decoding,Features Gamma-correct antialiasing,Features 64-bit OpenEXR HDR,Features Dual Link DVI,Features ScalableLinkInterface(SLI),Features 3-WaySLI,Features PureVideo HDwith VP1,"Features PureVideo 2 with VP2,BSP Engine, and AES128 Engine","Features PureVideo 3 with VP3,BSP Engine, and AES128 Engine",Features PureVideo 4 with VP4,Features Computeability,Features PureVideo 2 with VP2Engine: (BSP and 240 AES),Features PureVideo 4 with VP4 Engine,architecture,Code name(s),node,Core config_y,Bus Interface_y,L2 Cache (MB)_y,Clock speeds Basecoreclock(MHz),Clock speeds Boostcoreclock(MHz),Clock speeds Memory(MT/s),Memory Size(GB),Memory Bandwidth(GB/s),Memory Type,Memory Buswidth(bit),Fillrate Pixel(GP/s),Fillrate Texture(GT/s),processing power (GFLOPS)_single_precision_y,processing power (GFLOPS)_double_precision_y,processing power (GFLOPS)_half_precision_y,processing power (TFLOPS) Tensor compute (FP16)_y,Ray tracing Performance Rays/s(Billions),Ray-tracing Performance RTX OPS/s (Trillions)_y,Chips,Thread processors(total),shaders_cuda_cores,shaders_clock,shaders_max_clock,processing power (GFLOPS)_half_precision_tensor,cuda_compute_capability,model,codes
GeForce 9800 GT,2008-07-01,G92aG92b,65 nm UMC 55 nm,754,324260,PCIe 2.0 x16,0,0,112:56:16,0,0,0,0,5121024,57.6,GDDR3,256,0,10.0,3.3,600,1500,900,9.6,33.6,336,125105,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,Yes,No,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce 9800 GTX,2008-04-01,G92-420-A2,TSMC 65 nm,754,324,PCIe 2.0 x16,0,0,128:64:16,0,0,0,0,512,70.4,GDDR3,256,0,10.0,3.3,675,1688,1100,10.8,43.2,432,140,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes3-way,0,0,0,0,0,0,0,0,Yes,No,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce 9800 GTX,2008-07-16,G92b,TSMC 55 nm,754,260,PCIe 2.0 x16,0,0,128:64:16,0,0,0,0,5121024,70.4,GDDR3,256,0,10.0,3.3,738,1836,1100,11.808,47.232,470,141,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes3-way,0,0,0,0,0,0,0,0,Yes,No,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce 9800 GX2,2008-03-18,G92,TSMC/UMC 65 nm,2x 754,2x 324,PCIe 2.0 x16,0,0,2x 128:64:16,0,0,0,0,2x 512,2x 64.0,GDDR3,2x 256,0,10.0,3.3,600,1500,1000,2x 9.6,2x 38.4,2x 384,197,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,Yes,No,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce G 100,2009-03-10,G98,TSMC 65 nm,210,86,PCIe 2.0 x16,0,0,8:8:4,0,0,0,0,0,0,0,0,0,10.0,3.3,567,1400,500,2.15,4.3,22.4,35,OEM products,512,8.0,DDR2,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GT 120,2009-03-10,G96b,TSMC 55 nm,314,121,PCIe 2.0 x16,0,0,32:16:8,0,0,0,0,0,0,0,0,0,10.0,3.3,500,1400,800,4.4,8.8,89.6,50,OEM products,512,16.0,DDR2,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GT 130,2009-03-10,G94b,TSMC 55 nm,505,196,PCIe 2.0 x16,0,0,48:24:12,0,0,0,0,0,0,0,0,0,10.0,3.3,500,1250,500,6.0,12.0,120.0,75,OEM products,1536,24.0,DDR2,192.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GT 140,2009-03-10,G94b,TSMC 55 nm,505,196,PCIe 2.0 x16,0,0,64:32:16,0,0,0,0,0,0,0,0,0,10.0,3.3,650,1625,1800,10.4,20.8,208.0,105,OEM products,512 1024,57.6,GDDR3,256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTS 150,2009-03-10,G92b,TSMC 55 nm,754,260,PCIe 2.0 x16,0,0,128:64:16,0,0,0,0,0,0,0,0,0,10.0,3.3,738,1836,1000,11.808,47.232,470.0,141,OEM products,1024,64.0,GDDR3,256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce 205,2009-11-26,GT218,TSMC 40 nm,260,57,PCIe 2.0 x16,0,0,8:4:4,0,0,0,0,0,0,0,0,0,10.1,3.3,589,1402,0,2.356,2.356,22.4,30.5,OEM only,512,8,DDR2,64,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce 210,2009-10-12,GT218-325-B1,TSMC 40 nm,260,57,PCIe 2.0 x16PCIe x1PCI,0,0,16:8:4,0,0,0,0,0,0,0,0,0,10.1,3.3,520589,12301402,0,2.356,4.712,36.444.9,30.5,0,5121024,4.08.012.8,DDR2DDR3,3264,8001000–1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GT 220,2009-10-12,GT216-300-A2,TSMC 40 nm,486,100,PCIe 2.0 x16,0,0,48:16:8,0,0,0,0,0,0,0,0,0,10.1,3.3,615(OEM)625,1335(OEM)1360,0,5,10,128.2(OEM)130.6,58,0,5121024,16.025.3,DDR2DDR3,64128,10001580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GT 230,2009-10-12,G94b,TSMC/UMC 55 nm,505,196?,PCIe 2.0 x16,0,0,48:24:16,0,0,0,0,0,0,0,0,0,10,3.3,650,1625,0,10.4,15.6,156,75,OEM only,5121024,57.6,GDDR3,256,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GT 230,2009-04-27,G92b,TSMC/UMC 55 nm,754,260,PCIe 2.0 x16,0,0,96:48:12,0,0,0,0,0,0,0,0,0,10,3.3,500,1242,0,6,24,238.5,75,OEM only,1536,24,DDR2,192,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GT 240,2009-11-17,GT215-450-A2,TSMC 40 nm,727,139,PCIe 2.0 x16,0,0,96:32:8,0,0,0,0,0,0,0,0,0,10.1,3.3,550,1340,0,4.4,17.6,257.3,69,0,5121024,28.8(OEM)3254.4(GDDR5),DDR3GDDR3GDDR5,128,180020003400(GDDR5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTS 240,2009-07-01,G92aG92b,TSMC 65 nmTSMC/UMC 55 nm,754,324260,PCIe 2.0 x16,0,0,112:56:16,0,0,0,0,0,0,0,0,0,10.0,3.3,675,1620,0,10.8,37.8,362.9,120,OEM only,1024,70.4,GDDR3,256,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTS 250,2009-01-01,G92b,TSMC/UMC 55 nm,754,260,PCIe 2.0 x16,0,0,128:64:16,0,0,0,0,0,0,0,0,0,10.0,3.3,702,1512,0,11.2,44.9,387,130,0,5121024,64.0,GDDR3,256,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes3-Way (4-way for EVGA 285 Classified),0,0,0,0,0,0,0,0,0,0,0,0.0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTS 250,2009-03-03,G92-428-B1,TSMC 65 nmTSMC/UMC 55 nm,754,260,PCIe 2.0 x16,0,0,128:64:16,0,0,0,0,0,0,0,0,0,10.0,3.3,738,1836,0,11.808,47.232,470,150,Some cards are rebranded GeForce 9800 GTX+,5121024,64.070.4,GDDR3,256,20002200,$150($130 512MB),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes3-Way (4-way for EVGA 285 Classified),0,0,0,0,0,0,0,0,0,0,0,0.0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTX 260,2008-06-16,GT200-100-A2,65 nm,1400,576,PCIe 2.0 x16,0,0,192:64:28,0,0,0,0,0,0,0,0,0,10.0,3.3,576,1242,0,16.128,36.864,477,182,Replaced by GTX 260 Core 216,896,111.9,GDDR3,448,1998,$400 (dropped to $270 after 3 months,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes3-Way (4-way for EVGA 285 Classified),0,0,0,0,0,0,0,0,0,0,0,0.0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTX 260,2008-09-16,GT200-103-A2,65 nm55 nm,1400,576470,PCIe 2.0 x16,0,0,216:72:28,0,0,0,0,0,0,0,0,0,10.0,3.3,576,12421350,0,16.128,41.472,536.5583.2,182171,0,896 (1792),111.9,GDDR3,448,1998,$300,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes3-Way (4-way for EVGA 285 Classified),0,0,0,0,0,0,0,0,0,0,0,0.0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTX 275,2009-04-09,GT200-105-B3,TSMC/UMC 55 nm,1400,470,PCIe 2.0 x16,0,0,240:80:28,0,0,0,0,0,0,0,0,0,10.0,3.3,633,1404,0,17.724,50.6,674,219,Effectively one-half of the GTX 295,896 (1792),127.0,GDDR3,448,2268,$250,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes3-Way (4-way for EVGA 285 Classified),0,0,0,0,0,0,0,0,0,0,0,0.0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTX 280,2008-06-17,GT200-300-A2,65 nm,1400,576,PCIe 2.0 x16,0,0,240:80:32,0,0,0,0,0,0,0,0,0,10.0,3.3,602,1296,0,19.264,48.16,622,236,Replaced by GTX 285,1024,141.7,GDDR3,512,2214,$650 (dropped to $430 after 3 months,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes3-Way (4-way for EVGA 285 Classified),0,0,0,0,0,0,0,0,0,0,0,0.0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTX 285,2009-01-15,GT200-350-B3,TSMC/UMC 55 nm,1400,470,PCIe 2.0 x16,0,0,240:80:32,0,0,0,0,0,0,0,0,0,10.0,3.3,648,1476,0,20.736,51.84,708.48,204,EVGA GTX285 Classified supports 4-way SLI,1024 (2048),159.0,GDDR3,512,2484,$400,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes3-Way (4-way for EVGA 285 Classified),0,0,0,0,0,0,0,0,0,0,0,0.0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GTX 295,2009-01-08,GT200-400-B3,TSMC/UMC 55 nm,2x 1400,2x 470,PCIe 2.0 x16,0,0,2x 240:80:28,0,0,0,0,0,0,0,0,0,10.0,3.3,576,1242,0,2x 16.128,2x 46.08,1192.3,289,Dual PCB models were replaced with a single PCB model with 2 GPUs,2x 896,2x 111.9,GDDR3,2x 448,1998,$500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0.0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce 310,2009-11-27,GT218,TSMC 40 nm,260,57,PCIe 2.0 x16,0,0,16:8:4,0,0,0,0,0,0,0,0,0,0,0,589,1402,1000.0,2.356,4.712,44.8,30.5,"OEM Card, similar to Geforce 210",512,8.0,DDR2,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce 315,2010-02-01,GT216,TSMC 40 nm,486,100,PCIe 2.0 x16,0,0,48:16:4,0,0,0,0,0,0,0,0,0,0,0,475,1100,1580.0,3.8,7.6,105.6,33.0,"OEM Card, similar to Geforce GT220",512,12.6,DDR3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GT 320,2010-02-01,GT215,TSMC 40 nm,727,144,PCIe 2.0 x16,0,0,72:24:8,0,0,0,0,0,0,0,0,0,0,0,540,1302,1580.0,4.32,12.96,187.5,43.0,OEM Card,1024,25.3,GDDR3,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce GT 330,2010-02-01,GT215-301-A3,TSMC 40 nm,727,144,PCIe 2.0 x16,0,0,96:32:8,0,0,0,0,0,0,0,0,0,0,0,550,1350,0.0,4.4,17.6,257.3,75.0,"Specifications vary depending on OEM, similar to GT230 v2.",512,32.0,GDDR3,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
