hw_model,launch,Code name,Fab,Transistors (million),Node,bus,clock,memory_clock,Core config_x,Fillrate MOperations/s,Fillrate MPixels/s,Fillrate MTexels/s,Fillrate MVertices/s,memory_size,memory_bandwidth,memory_bus,memory_bus_width,GFLOPS FP32,Supported API version Direct3D,Supported API version OpenGL,Clock rate Core (MHz),Clock rate Shader (MHz),Clock rate Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),processing power (GFLOPS)_single_precision_x,tdp,Comments,Memory configuration Size (MB),Memory configuration Bandwidth (GB/s),Memory configuration DRAM type,Memory configuration Bus width (bit),Clock rate Memory (MT/s),Release Price (USD),SM count,Supported API version Vulkan,Supported API version OpenCL,processing power (GFLOPS)_double_precision_x,Supported API version OpenCL8,Clock rate Average Boost (MHz),Clock rate Max Boost (MHz),SMX count,Clock rate Base (MHz),Clock rate Max Boost,Process_x,Transistors (billion),L2 Cache (MB)_x,Clock Speeds Base (MHz),Clock Speeds Boost (MHz),Clock Speeds Memory (MT/s),SLI support,Release price (USD) MSRP,Clock speeds Base core (MHz),Clock speeds Boost core (MHz),Clock speeds Memory (MT/s),processing power (GFLOPS)_half_precision_x,Release price (USD) Founders Edition,Clock speeds Base core clock (MHz),Clock speeds Boost core clock (MHz),processing power (GFLOPS) Tensor compute + Single precision,NVLink Support,Clock speeds Memory (GT/s),NVLink support,Release price (USD),processing power (GFLOPS) Tensor compute (FP16),Ray-tracing Performance Rays/s (Billions),Ray-tracing Performance RTX OPS/s (Trillions)_x,processing power (TFLOPS)_single_precision,processing power (TFLOPS)_double_precision,processing power (TFLOPS)_half_precision,processing power (TFLOPS) Tensor compute (FP16) (2:1 sparse),Ray-tracing Performance (TFLOPS),API support Direct3D,API support OpenGL,Supported API version OpenGL Hardware,Supported API version OpenGL Drivers (Software),Clock speed Core (MHz),Clock speed Shader (MHz),Clock speed Memory (MHz),processing power (GFLOPS),Notes,Clock speed Memory (MT/s),Supported API version CUDA,Supported API version CUDA Compute Capability,Notes (original research),Clock speed Min (MHz),Clock speed Average (MHz),Supported API version DirectX,processing power (GFLOPS)_single_precision (boost),Memory (MT/s),processing power (TFLOPS) Tensor compute (FP16)_x,Shader clock (MHz),Boost clock (MHz),Memory clock (MT),processing power (GFLOPS) Tensor compute (FP16) (sparse),Size Profile,Size Slots,Nvidia Optimustechnology,Memory Memory clock (MHz),processing power (GFLOPS) Tensor,Fillrate MTri/s,processing power (GFLOPS) Ray Tracing Performance,Deep Learning TOPS (INT8),Features Video Processing Engine (VPE),Features OpenEXR HDR,Features Scalable Link Interface (SLI),Features TurboCache,Features PureVideo WMV9 Decoding,Features Gamma-correct antialiasing,Features 64-bit OpenEXR HDR,Features Dual Link DVI,Features ScalableLinkInterface(SLI),Features 3-WaySLI,Features PureVideo HDwith VP1,"Features PureVideo 2 with VP2,BSP Engine, and AES128 Engine","Features PureVideo 3 with VP3,BSP Engine, and AES128 Engine",Features PureVideo 4 with VP4,Features Computeability,Features PureVideo 2 with VP2Engine: (BSP and 240 AES),Features PureVideo 4 with VP4 Engine,architecture,Code name(s),node,Core config_y,Bus Interface_y,L2 Cache (MB)_y,Clock speeds Basecoreclock(MHz),Clock speeds Boostcoreclock(MHz),Clock speeds Memory(MT/s),Memory Size(GB),Memory Bandwidth(GB/s),Memory Type,Memory Buswidth(bit),Fillrate Pixel(GP/s),Fillrate Texture(GT/s),processing power (GFLOPS)_single_precision_y,processing power (GFLOPS)_double_precision_y,processing power (GFLOPS)_half_precision_y,processing power (TFLOPS) Tensor compute (FP16)_y,Ray tracing Performance Rays/s(Billions),Ray-tracing Performance RTX OPS/s (Trillions)_y,Chips,Thread processors(total),shaders_cuda_cores,shaders_clock,shaders_max_clock,processing power (GFLOPS)_half_precision_tensor,cuda_compute_capability,model,codes
GeForce 256 SDR,1999-10-11,NV10,0,17,139,"AGP 4x, PCI",120,166,4:4:4,480,480,480,0,3264,2.656,SDR,128,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce 256 DDR,1999-12-13,NV10,0,17,139,"AGP 4x, PCI",120,150,4:4:4,480,480,480,0,3264,4.8,DDR,128,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce2 MX IGP,2001-06-04,NV1A (IGP) / NV11 (MX),TSMC180 nm,20,64,FSB,175,133,2:4:2,350,350,700,0,Up to 32 system RAM,2.1284.256,DDR,64128,0.7,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce2 MX200,2001-03-03,NV1A (IGP) / NV11 (MX),TSMC180 nm,20,64,"AGP 4x, PCI",175,166,2:4:2,350,350,700,0,3264,1.328,SDR,64,0.7,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce2 MX,2000-06-28,NV1A (IGP) / NV11 (MX),TSMC180 nm,20,64,"AGP 4x, PCI",175,166,2:4:2,350,350,700,0,3264,2.656,SDR,128,0.7,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce2 MX400,2001-03-03,NV1A (IGP) / NV11 (MX),TSMC180 nm,20,64,"AGP 4x, PCI",200,"166,200 (SDR)166 (DDR)",2:4:2,400,400,800,0,3264,1.328 3.200 2.656,SDRDDR,64/128 (SDR)64 (DDR),0.8,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce2 GTS,2000-04-26,NV15,TSMC180 nm,25,88,AGP 4x,200,166,4:8:4,800,800,1600,0,3264,5.312,DDR,128,1.6,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce2 Pro,2000-12-05,NV15,TSMC180 nm,25,88,AGP 4x,200,200,4:8:4,800,800,1600,0,3264,6.4,DDR,128,1.6,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce2 Ti,2001-10-01,NV15,TSMC150 nm,25,88,AGP 4x,250,200,4:8:4,1000,1000,2000,0,3264,6.4,DDR,128,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeForce2 Ultra,2000-08-14,NV15,TSMC180 nm,25,88,AGP 4x,250,230,4:8:4,1000,1000,2000,0,64,7.36,DDR,128,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
