0,1
Key people,Jen-Hsun Huang Chris Malachowsky Curtis Priem David Kirk Bill Dally Debora Shoquist Ranga Jayaraman Jonah M. Alben
Acquisitions,3dfx Interactive Ageia ULi Cumulus Networks Icera Mellanox Technologies Mental Images PortalPlayer Exluna MediaQ Stexar
